Location,state_abbr,fips,Density_perSquare_mile,Pop,Total Number of COVID-19 Tests with Results,Share of Tests with Positive COVID-19 Results,"Number of Tests with Results per 1,000 Population","Hospital Beds per 10,000 Population",Number of COVID-19 Cases,"COVID-19 Cases per 1,000,000 Population",Deaths from COVID-19,"COVID-19 Deaths per 1,000,000 Population",Total Hospital Beds,"Hospital Beds per 10,000 Population",ICU Beds,"ICU Beds per 10,000 Population","Total number, adults 18 and older","Number at risk, adults 18 and older","At-risk adults, as a share of all adults ages 18 and older","Total number, adults under age 60","Number at risk due to health conditions,adults under age 60",Adults under age 60__Share of adults under age 60 at risk,"Adults age 60 and older__Total number, adults age 60 and older","Adults age 60 and older__Older adults, as a share of all at-risk adults",First case reported date
Alabama,AL,1,96.9221,4908621,52889,NA,10.8,31.6,6026.00,1229,209,43,15035,31.6,1870,3.9,3810260,1756630,0.461,2620083,566450,0.216,1190170,0.678,3/13/2020
Alaska,AK,2,1.2863,734002,12281,0.027604,16.8,22.6,339.00,463,9,12,1604,22.6,130,1.8,556390,196440,0.353,419878,59930,0.143,136510,0.695,3/12/2020
Arizona,AZ,4,64.955,7378494,60714,NA,8.3,18.4,6280.00,863,273,38,12875,18.4,1742,2.5,5497320,2320930,0.422,3810152,633770,0.166,1687160,0.727,1/26/2020
Arkansas,AR,5,58.403,3038999,35578,0.077042,11.8,28.6,2830.00,938,47,16,8353,28.6,856,2.9,2321220,1079560,0.465,1598536,356880,0.223,722680,0.669,3/11/2020
California,CA,6,256.3727,39937489,494173,NA,12.5,19.2,41523.00,1051,1623,41,74286,19.2,8131,2.1,30806310,11405140,0.37,22523811,3122640,0.139,8282500,0.726,1/26/2020
Colorado,CO,8,56.4011,5845526,56789,0.215816,9.9,17.5,12256.00,2128,674,117,9737,17.5,1770,3.2,4444870,1616650,0.364,3242253,414030,0.128,1202610,0.744,3/5/2020
Connecticut,CT,9,735.8689,3563077,74038,0.323091,20.8,23.4,23936.00,6714,1767,496,8102,23.4,731,2.1,2852650,1163280,0.408,1964143,274780,0.14,888500,0.764,3/8/2020
Delaware,DE,10,504.3073,982895,17379,0.198055,17.8,20.4,3576.00,3672,112,115,1916,20.4,249,2.7,769120,337910,0.439,518403,87190,0.168,250720,0.742,3/11/2020
Florida,FL,12,410.1256,21992985,319038,0.095703,14.9,25.8,30839.00,1436,1055,49,53795,25.8,6226,6,17206330,7997800,0.465,11219768,2011240,0.179,5986560,0.749,3/1/2020
Georgia,GA,13,186.6719,10736059,107520,0.20918,10.1,23.2,22695.00,2138,904,85,23692,23.2,2703,3,8074090,3189150,0.395,5873782,988850,0.168,2200310,0.69,3/2/2020
